Nova SBE — MSc Management — Courses 2025/26;;;;;;;
Course Code;Period;Course Name;ECTS;Faculty;Type;Also Available In;Notes
2644;T4;Sustainable Operations;3,5;Utku Serhatli;Elective;International MSc Management;
2458;T4;Talent Development;3,5;Filipa Rodrigues;Elective;International MSc Management;
2753;T4;Tourism & Hospitality Consulting;3,5;Miguel Bello;Elective;International MSc Management;
2418;T4;WPP Master class;3,5;Jorge Velosa;Elective;International MSc Management;
2788;T4;Aviation Management;3,5;Jonathan Gavin Eccles;Elective;International MSc Management;
2176;S1;Development Economics;7;Pedro Vicente;Out-of-Program;—;
2193;T1;Behavioral Economics and Finance;3,5;Pedro Pires;Out-of-Program;—;
2238;T1;Financial Reporting;3,5;Camillo Riva;Out-of-Program;—;
2233;T1;Macroeconomics of Financial Markets;3,5;André de Castro Silva;Out-of-Program;—;
2796;T2;Economics of the European Union;3,5;José Tavares;Out-of-Program;—;
2194;T2;History of Economic Analysis;3,5;Francesco Franco;Out-of-Program;—;
2138;T3;Environmental Policy;3,5;Antonieta Cunha e Sá;Out-of-Program;—;
2238;T3;Financial Reporting;3,5;Camillo Riva;Out-of-Program;—;
2248;T3;Fixed Income;3,5;Ante Sterc;Out-of-Program;—;
2145;T3;Labor Economics;3,5;Pedro Portugal;Out-of-Program;—;
2173;T3;Macroeconomic Theory;3,5;Francesco Franco;Out-of-Program;—;
2181;T3;Policy Evaluation;3,5;Nikita Melnikov;Out-of-Program;—;
2184;T3;Political Economy;3,5;José Tavares;Out-of-Program;—;
2197;T4;Advanced Behavioral Economics;3,5;Pedro Pires;Out-of-Program;—;
2281;T4;Behavioral Finance;3,5;Afonso Teixeira Duarte;Out-of-Program;—;
2235;T4;Credit Risk;3,5;Ante Sterc;Out-of-Program;—;
2141;T4;Global Energy Markets;3,5;Antonieta Cunha e Sá;Out-of-Program;—;
2279;T4;Islamic Finance;3,5;Fouad Hashem;Out-of-Program;—;
2233;T4;Macroeconomics of Financial Markets;3,5;André de Castro Silva;Out-of-Program;—;
2687;T4;Public Policy;3,5;Ana Catarina Alvarez;Out-of-Program;—;
